nom_prenom,code_nuance
jean_michel_dubois,RN
farid_ghehioueche,DIV
jean_marie_julia,DIV
gaspard_delanoe,DIV
rolande_perlican,COM
sabine_herold,DIV
patrick_cosseron_de_villenoisy,DSV
alain_mourguy,DIV
jean_marc_governatori,ECO
elisabeth_barbay,DIV
axel_de_boer,DIV
daniel_cohn_bendit,ECO
michel_barnier,LR
jean_pierre_enjalbert,DLR
omar_slaouti,EXG
annick_du_roscoat,EXD
jean_pierre_mercier,EXG
jean_luc_pasquinet,ECO
dieudonne_mbala_mbala,DIV
alain_ducq,DIV
jerome_riviere,DSV
andre_locussol,DIV
francoise_castany,DIV
patrick_le_hyaric,FG
marianne_ranke_cormier,DIV
harlem_desir,SOC
marielle_de_sarnez,MDM
