nom_prenom,code_nuance
aubry_manon,LFI
de_prevoisin_robert,DSV
camus_renaud,DIV
marie_florie,DIV
loiseau_nathalie,ENS
traore_hamada,DIV
philippot_florian,DSV
alexandre_audric,DIV
bourg_dominique,ECO
vauclin_vincent,EXD
lagarde_jean_christophe,UDI
glucksmann_raphael,SOC
gernigon_yves,DIV
helgen_gilles,DIV
dupont_aignan_nicolas,DSV
caillaud_sophie,ECO
delfel_therese,DIV
arthaud_nathalie,EXG
brossat_ian,COM
asselineau_francois,DSV
hamon_benoit,DIVG
tomasini_nathalie,DIV
bardella_jordan,RN
corbet_cathy_denise_ginette,DIV
sanchez_antonio,EXG
dieumegard_pierre,DIV
chalencon_christophe,DIV
lalanne_francis,DIV
bellamy_francois_xavier,LR
jadot_yannick,ECO
thouy_helene,DIV
bidou_olivier,DIV
person_christian_luc,DIV
azergui_najib,DIV
