nom_prenom,code_nuance
bardella_jordan,RN
berlingen_eric,DIV
bayou_julien,ECO
pulvar_audrey,SOC
pailhac_victor,ECO
pecresse_valerie,LR
conti_fabiola,DIV
brot_lionel,DIV
saint_martin_laurent,ENS
arthaud_nathalie,EXG
autain_clementine,LFI
