nom_prenom,code_nuance
vincent_le_scornet,DIV
isabelle_bordry,DSV
balie_topla,DIV
pascal_durand,ECO
julien_volganli,DIV
farid_gheioueche,DIV
alain_lamassoure,LR
helene_feo,DIV
christophe_paillard,DSV
francis_mbella,DIV
marielle_de_sarnez,MDM
laure_patas_d_illiers,DIV
jean_grimal,EXG
dominique_jamet,DLR
stephane_guyot,DIV
caroline_de_haas,DIV
jean_marc_governatori,ECO
pervenche_beres,SOC
patrick_le_hyaric,FG
antoine_mayerowitz,DIV
magali_lepape,DIV
francois_asselineau,DSV
gaspard_delanoe,DIV
nathalie_arthaud,EXG
veronique_vermorel,DIV
pierre_larrouturou,DIVG
corinne_lepage,DIV
louis_de_gouyon_matignon_de_pon,DIV
christine_boutin,DSV
aymeric_chauprade,RN
olivier_besancenot,EXG
