nom_prenom,code_nuance
eva_joly,ECO
marine_le_pen,RN
nicolas_sarkozy,LR
jean_luc_melenchon,FG
philippe_poutou,EXG
nathalie_arthaud,EXG
jacques_cheminade,DIV
francois_bayrou,MDM
nicolas_dupont_aignan,DSV
francois_hollande,SOC
